index site,latitude,longitude,pays,couleur,capacite offshore,scores,capacites
563,64.0,17.0,Suède,#758da3,Non,0.002006868771090267,725.9801868543195
564,64.0,18.0,Suède,#758da3,Non,0.0022655083212228156,819.5424524284342
565,64.0,19.0,Suède,#758da3,Non,0.0025888170671430925,936.4986516358815
566,64.0,20.0,Suède,#758da3,Non,0.003923840494604601,1419.4403224043517
568,63.0,13.0,Suède,#758da3,Non,0.0015572395790992269,563.3278552624149
569,63.0,14.0,Suède,#758da3,Non,0.0015328665036493676,554.5109509763961
570,63.0,15.0,Suède,#758da3,Non,0.0017349599734543873,627.6178013517598
571,63.0,16.0,Suède,#758da3,Non,0.0019883147817824276,719.2683236679287
572,63.0,17.0,Suède,#758da3,Non,0.002535001943994208,917.03115394893
573,63.0,18.0,Suède,#758da3,Non,0.003842274749813076,1389.934100822911
